,id,prompt,A,B,C,D,E,answer,context
783,783,How did the Algonquin Round Table members disseminate their wisecracks and witticisms across the country?,The Algonquin Round Table members disseminated their wisecracks and witticisms through the newspaper columns of Round Table members.,The Algonquin Round Table members published a daily newspaper that featured their wisecracks and witticisms.,The Algonquin Round Table members published their wisecracks and witticisms in books that became bestsellers.,The Algonquin Round Table members hosted radio shows where they shared their wisecracks and witticisms with the public.,The Algonquin Round Table members organized nationwide tours where they performed their wisecracks and witticisms to live audiences.,A,The Algonquin Round Table was a group of New York City writers critics actors and wits. Gathering initially as part of a practical joke members of The Vicious Circle as they dubbed themselves met for lunch each day at the Algonquin Hotel from 1919 until roughly 1929. At these luncheons they engaged in wisecracks wordplay and witticisms that through the newspaper columns of Round Table members were disseminated across the country. Daily association with each other both at the luncheons and outside of them inspired members of the Circle to collaborate creatively. The entire group worked together successfully only once however to create a revue called No Sirree which helped launch a Hollywood career for Round Tabler Robert Benchley. In its ten years of association the Round Table and a number of its members acquired national reputations both for their contributions to literature and for their sparkling wit. Although some of their contemporaries and later in life even some of its members disparaged the group its reputation has endured long after its dissolution. Origin The group that would become the Round Table began meeting in June 1919 as the result of a
784,784,What is the significant role that Peter Joseph Noozhumurry Varghese took on after leaving the position as Secretary of the Department of Foreign Affairs and Trade?,He became the chancellor of the University of Queensland.,He joined the Australian National University as a professor of political science.,He became the ambassador to the United States for Australia.,He started his own consulting firm specializing in international relations.,He became the Secretary-General of the United Nations.,A,Peter Joseph Noozhumurry Varghese born 19 March 1956 is an Australian retired diplomat and public servant. He was the Secretary of the Department of Foreign Affairs and Trade from 3 December 2012 to 22 July 2016. He announced in November 2015 that he would leave the position in July 2016 to become the chancellor of the University of Queensland. Early life and education Varghese was born in Kenya to ethnic Asian Indian parents of Nasrani Malayalee origin. He emigrated to Australia as a child in 1964 first moving to Newcastle and two years later heading to Brisbane. He studied history and graduated from the University of Queensland with a university medal.  Career  Vargheses first diplomatic posting was at the Australian Embassy in Vienna from 1980 to 1983. His second overseas posting was at the Embassy of Australia Washington D.C. from 1986 to 1988. From 1989 to 1990 Varghese was a speechwriter to Foreign Minister Gareth Evans. Vargheses first Senior Executive Service appointment within the Department of Foreign Affairs and Trade was as the Assistant Secretary of the Staffing Branch from 1991 to 1992. In 1994 he was posted to the Australian Embassy in Tokyo. He was
785,785,"What is the main purpose of St Mary's Church in Barnsley, England?","St Mary's Church is primarily used as a meeting place for local government officials in Barnsley, such as the town hall.","St Mary's Church is primarily used as a historical landmark and tourist attraction in Barnsley, hosting various events and exhibitions.",St Mary's Church is primarily used as a venue for music performances and events organized by Barnsley College.,"St Mary's Church serves as the main parish church in Barnsley and surrounding areas, providing religious services to the local community.","St Mary's Church serves as a popular wedding venue in Barnsley, offering picturesque surroundings for couples.",D,St Marys Church otherwise known as the Parish of St Mary the Virgin Barnsley is a grade II listed active Parish Church in the town of Barnsley in the Metropolitan Borough of Barnsley South Yorkshire England. Built in 1400 the church is located on Church Lane and is directly next to the college and town hall. The church is used for hosting religious services and Barnsley College use it for music performances and events. The church is the main parish church in Barnsley and local suburbs. References External links  CategoryGrade II listed churches in South Yorkshire CategoryChurches completed in 1400
786,786,Which FA Women's Championship team does Alexandra Grace Brooks play for?,Sheffield United,Coventry United,London Bees,Blackburn Rovers,Bristol City,D,Alexandra Grace Brooks born 19 January 1995 is an English footballer who plays as a goalkeeper for Blackburn Rovers in the FA Womens Championship. Club career Having come through their academy system Alexandra Brooks made her first team debut for Manchester City when she replaced Karen Bardsley in an FA WSL Cup match against Durham on 13 July 2014. She would further occasional appearances for the next season and a half before a loan move to Everton for the duration of the 2016 season plus the halflength 2017 FA WSL Spring Series campaign. The following year she departed City for Sheffield United. On 26 January 2019 Brooks moved back to the highest division of English football with a transfer to Birmingham City. Career statistics Club Club Season League Cup League Cup Continental Total Division Apps Goals Apps Goals Apps Goals Apps Goals Apps Goals Manchester City 2014 FA WSL 1 0 0 0 1 0  2 0 2015 3 0 2 0 0 0  5 0 Everton loan 2016 FA WSL 2 0 0 0 0 0 0  0 0 2017 FA WSL Spring Series 0 0 0 0 0 0  0 0 Total 0 0 0 0 0 0  0 0 Manchester City 201718 FA WSL 0 0 0 0 0 0 0 0 0 0 Total 4 0 2 0 1 0  7 0 Sheffield United 201819 FA WSL 2 9 0 0 0 2 0  11 0
787,787,What is the standard abbreviation for the 6th constituency of Hajdú-Bihar County in Hungary?,HB06,HBP06,HB-06,HBJ06,HBC06,A,The 6th constituency of HajdBihar County  is one of the single member constituencies of the National Assembly the national legislature of Hungary. The constituency standard abbreviation HajdBihar 06. OEVK. Since 2014 it has been represented by Istvn Tiba of the FideszKDNP party alliance. Geography The 6th constituency is located in northwestern part of Hajd Bihar County. List of municipalities The constituency includes the following municipalities Members The constituency was first represented by Istvn Tiba of the Fidesz from 2014 and he was reelected in 2018 and 2022. Election Election Member Party  2014 Istvn Tiba Fidesz 47.65 2018 Istvn Tiba Fidesz 48.91 2022 Istvn Tiba Fidesz 58.19 References Hajd Bihar 6th
788,788,"What accolades has the film ""The Planter's Plantation"" received?",The film received the Best Film award at the African International Film Festival.,The film received the Ousmane Sembene Special Prize and the Plan International Price at the 2023 FESPACO.,The film received the Ecran D’Or award at the Cameroon International Film Festival.,The film received the Best International Feature Film award at the 2023 Academy Awards.,The film received nominations for the AMVCA in various categories.,B,The Planters Plantation is a 2022 Cameroonian musical drama film written  produced and directed by Eystein Young Dingha . An allegory to neocolonization the film is Cameroons entry for Best International Feature Film at the 2023 Academy Awards. It won two special prizes at the 2023 FESPACO namely The Ousmane Sembene Special Prize and the Plan International Price for a film on the rights of Women and the girl child . The Film has been highly acclaimed for its selection and outstanding performances in festival such as The African International Film Festival FESPACO Ecran Noirs Film festival  Uganda Film Festival  Luanda Film Festival  Khouribga International Film Festival Yarha Film Festival  Al Ain Film Festival  Montpellier Film Festival  Cameroon International film festival where it won prices ranging from Best Film  Ecran DOr  Best Actress . It made history for being the first Cameroonian film to be nominated for an AMVCA for its best Actress Nimo Loveline.  Plot  Set in the 1960s Enanga a young girl goes against all odds to preserve a plantation willed to her father by a member of the colonial government. FileTHE PLANTERS PLANTATION STILLS.jpgalt FileTHE
789,789,"Which of the following statements accurately describes the film ""The Flesh and the Fiends"" based on the provided Wikipedia excerpt?","""The Flesh and the Fiends"" is a 1960 British horror film directed by John Gilling, starring Peter Cushing as Robert Knox, who investigates a series of mysterious killings in 19th-century London.","""The Flesh and the Fiends"" is a 1960 British horror film directed by John Gilling, in which Peter Cushing portrays a 19th-century medical doctor named Robert Knox, involved in the illegal trade of human corpses.","""The Flesh and the Fiends"" is a 1960 British horror film directed by John Gilling, in which Peter Cushing plays the role of a detective pursuing Burke and Hare, two notorious murderers in 19th-century Edinburgh.","""The Flesh and the Fiends"" is a 1960 American horror film directed by John Gilling, starring Peter Cushing as Robert Knox, a medical doctor involved in a murder case.","""The Flesh and the Fiends"" is a 1950 British drama film directed by John Gilling, featuring Peter Cushing as Robert Knox, a medical doctor researching human corpses.",B,And the Word Was Made Flesh is a 1971 Australian film directed and written by Dusan Marek and starring Jan Cernohous and Jo Van Dalen. The title of the film is a religious quote from John 114. Plot A wandering scientist out collecting samples comes across a half naked woman being held captive. He rescues the woman but they are pursued by the captor and two strange alien creatures. Cast  Jan Cernohous  Jo Van Dalen  John Kirk  Christine Pearce  David Stocker References External links  And the Word was Made Fresh at Oz Movies And the Word Was Made Flesh at AustLit Category1972 films Category1970s Englishlanguage films
790,790,What is the significance of the Photo Doody marionette in the world of puppetry?,Photo Doody is considered one of the most technically advanced marionettes due to its ideal string configuration.,Photo Doody was the first marionette to be showcased in major advertising campaigns.,Photo Doody revolutionized puppetry by introducing near-stringless technology for enhanced posing in photography.,Photo Doody had a unique design that allowed it to perform complex movements and gestures never before seen in marionettes.,Photo Doody gained fame for its ability to sit comfortably on the lap of Buffalo Bob Smith during the Howdy Doody Show.,C,thumb240pxMarionettestransformers. World Puppetry Day is March 21. The idea came from the puppet theater artist Javad Zolfaghari from Iran. In 2000 at the XVIII Congress of the Union Internationale de la Marionnette UNIMA in Magdeburg he made the proposal for discussion. Two years later at a meeting of the International Council of UNIMA in June 2002 in Atlanta the date of the celebration was identified. The first celebration was in 2003. Each year the day comes with a theme. In 2022 the theme was The Sea encouraging puppeteers to celebrate the day using some form of that theme. World Puppetry Day is celebrated by puppet festivals donating to puppet organizations making puppets or watching a puppet show. Some communities will put on puppet shows in honor of the day reminding people of this versatile and dying art form. Puppets have been around for almost 4000 years in almost every civilization. Today puppets come in all shapes and sizes and are used to tell different stories. See also  UNIMA  Puppetry  Puppeteer  Kenya Institute of Puppet Theatre KIPT References External links  UNIMA Official Website CategoryPuppetry organizations CategoryMarch
791,791,What was the population of Linkmenys according to the 2011 census?,134,455,201,78,260,A,Linkmenys  is a village located in Ignalina District Municipality in Utena County Lithuania. According to the 2011 census the village had a population of 134 inhabitants.  History  In Hermann von Wartberges Chronicon Livoniale it is referred to as Linkmenys Castle which probably stood on . Around 1500 the local church has been erected. Sigismund Augustus had a manor and a town which belonged to the manor in Linkmenys. In 1922 2 years after PolishLithuanian War the Polish soldiers in Lithuanian school of Linkmenys butted the Vytis as foreign state sign. During the interwar period the village was split with PolishLithuanian demarcation line however the bigger part of the village was annexed by Poland. During World War II in midJuly 1941 70 Jewish men women and children were murdered in a mass execution perpetrated by an Einsatzgruppen and Lithuanian collaborators. A memorial stone is erected at the site of the massacre.  Notable people   Ignacy Oziewicz Polish military officer  References  CategoryVillages in Utena County CategorySventsyansky Uyezd CategoryWilno Voivodeship 19261939 CategoryHolocaust locations in Lithuania CategoryIgnalina
792,792,What is the occupation of the protagonist in the film American Mary?,The protagonist is an aspiring actress.,The protagonist is a destitute medical student.,The protagonist is a professional dancer.,The protagonist is a body modification artist.,The protagonist is a wealthy entrepreneur.,B, Julia Maxwell as Tessa Beatress niece who works as a receptionist at a veterinary clinic.  John Emmet Tracy as Detective Dolor a Police Detective who is suspicious of Marys involvement in Dr. Grants disappearance.  Twan Holliday as Lance Delgreggo one of Billys enforcers.  Travis Watters as Mr. Realgirl Rubys husband.  Cameos  The Soskas make an appearance as the demon twins from Berlin their father Marius also appears in a minor role as Dr. Janusz a professor at the medical school. Production The film was shot in Vancouver British Columbia Canada. There were no visual effects all effects are either practical or Marys patients are members of the reallife body modification community. The role of Mary was written specifically for Katharine Isabelle. The script was written while the Soskas were trying to sell their film Dead Hooker in a Trunk and it mirrors some of the experiences that they had in the film industry such as meeting sleazy people that seem initially reputable. Release American Mary premiered at the London FrightFest Film Festival on 27 August 2012. It received a limited theatrical run in the U.S. on 31 May 2013 and became
793,793,What was the main objective of The Wall Tour by Pink Floyd?,The main objective of The Wall Tour was to promote Pink Floyd's greatest hits album.,The main objective of The Wall Tour was to perform a series of charity concerts to raise funds for various causes.,"The main objective of The Wall Tour was to showcase Pink Floyd's concept album, The Wall.",The main objective of The Wall Tour was to celebrate the band's anniversary and their contribution to progressive rock music.,The main objective of The Wall Tour was to introduce Pink Floyd's new lineup of band members to their fans.,C,on him. The act so disgusted David Gilmour that he left the stage prior to the final encore More Blues leaving Snowy White to fill in as the roadies began dismantling the stage equipment. The insatiable audience clamored for the band to keep playing and a small riot broke out in front of the stage following the bands eventual exit. Later that night Waters recounted the incident to his friend music producer Bob Ezrin and expressed his growing feelings of alienation toward their fans. Those feeling of detachment became the starting and focal point for Pink Floyds next album The Wall.Schaffner p. 218219 The Wall live The 19801981 set lists comprised the entire album The Wall. Pink Floyd mounted its most elaborate stage show in conjunction with the tour of The Wall. A band of session musicians played the first song wearing rubber face masks taken from the real band members then backed up the band for the remainder of the show. Most notable was the giant wall constructed between the band and the audience. The costs of the tour were estimated to have reached US1.5 million even before the first performance. The New York Times stated in its 2 March 1980 edition
794,794,What is the correct spelling of the retired Moroccan professional footballer's name?,Mustapha El Haddaoui,Mustafa El-Hadaoui,Mustapha El Hadawi,Mustafa El Haddaoui,Mustapha El-Hadaoui,E,4 15 September 2013 6 Abdelkrim Merry 3 25 October 1985 Youssef EnNesyri 23 January 2021 8 Abderrazak Hamdallah 2 25 October 2013 By Leagues League Hattricks Last hattrick 1 BGL Ligue 15 14 April 2019 2 Ligue 1 14 16 April 2016 3 La Liga 6 23 January 2021 4 Eredivisie 5 22 August 2015  Super League 1 5 17 May 2022 6 Tippeligaen 2 25 October 2013 7 Scottish Premier League 1 29 September 2001  Primeira Liga 1 22 May 1994  Sper Lig 1 4 April 2015 Moroccan players Titles in European clubs This statistics of Moroccan players who won titles in Europe where the player must be Moroccan whether he played for the Morocco national football team or from a Moroccan father and mother. He has never been represent another country but if he plays for another national team and then plays for the Moroccan team he is considered a Moroccan player and the same thing if he played with teams under23 under20 and under17. Bold Still playing competitive football in Europe  Name League Cup Others Europe TOTAL 1 2003 2004 2007 2009 2012 2003 2005 2006 2007 2004 2006 2007 2009 2011 14 2 2011 2012 2014 2016 2017 2018 2019 2012 2016 2019 10  2012 2015 2016 2018 2019
795,795,What is Ferenc András Kalmár known for?,Ferenc András Kalmár is known for his contributions to quantum physics and the theory of relativity.,Ferenc András Kalmár is known for his career as a politician and a member of the National Assembly.,Ferenc András Kalmár is known for his involvement in various social and environmental activism campaigns.,Ferenc András Kalmár is known for his research in particle physics and cosmology.,Ferenc András Kalmár is known for his innovations in the field of renewable energy.,B,Ferenc Kalmar 19282013 was a Serbian and Hungarian sculptor living in Vojvodina. He died in 2013.  Biography  Ferenc Kalmar was born in Subotica Kingdom of Yugoslavia on 25 May 1928. He began doing sculptures in 1947. He had his first solo exhibition in Subotica in 1956. During more than six decades of rich creative work he produced a unique oeuvre which revealed his inquisitive and exploitative mind. His universality is seen in his interest in various materials ceramics metal wood and frequent change of medium until his ultimate surrender to raw magnetic energy of the unity of painting and sculpture expressed in coloured wood sculptures. He died in his atelier in Subotica Serbia in 2013..         2007  Artistic style  At the beginning of the eighties coloured wood successfully and permanently ranked Ferenc Kalmar among artists of outsider art in Serbia. His journey to the United States in the early eighties when he was fascinated with the art of distant Indian culture Mayan art and reliefs on Egyptian tombstones stimulated new sources of inspiration changed his philosophy of living and artistic
796,796,What literary prize was Ákoz Kertész awarded in 2008?,The Kossuth Prize,The Nobel Prize in Literature,The PEN/Faulkner Award,The Booker Prize,The Pulitzer Prize,A,koz Kertsz  18 July 1932  7 December 2022 was a Hungarian writer and screenwriter. In 2008 he was awarded the Kossuth Prize for high literary honors in Hungary. Biography Born in Budapest on 18 July 1932 to Jewish parents Ferenc Kertsz and Lilla Vg he narrowly escaped the Holocaust. After attending secondary school in Budapest Kertsz was not admitted to university due to his Jewish ancestry and instead worked in an automobile factory for Ikarus. He studied at Etvs Lornd University from 1961 to 1966 graduating with a degree in Hungarian folk studies. From 1966 to 1992 he worked as a screenwriter for Mafilm. He published his first book in 1962 titled Htkznapok szerelme. From 1994 to 1997 Kertsz was an editor for the weekly magazine let s Irodalom. On 29 August 2011 he wrote an open letter to the Hungarian newspaper detailing his harassment. On 29 February 2012 he applied for asylum in Canada which was granted in November 2013. Kertsz died in Montreal on 7 December 2022 at the age of 90. Works Htkznapok szerelme 1962 Siktor 1965 Makra 1971 Nvnap 1972 Witwen 1976 Vdovy 1976 Jmeniny 1978 Kasparek 1979 Csaldi hz
797,797,What role did Daniel George Belisle assume during his ice hockey career?,"Daniel George Belisle was a successful NHL player, competing for 14 seasons and winning multiple Stanley Cups.","Daniel George Belisle was known for his philanthropic efforts, establishing a foundation that supports youth ice hockey programs.","Daniel George Belisle was an influential figure in the development of ice hockey equipment, particularly the design of goalie masks.",Daniel George Belisle primarily served as a coach in the minor leagues before eventually coaching the Washington Capitals in the NHL.,"Daniel George Belisle was a pioneer in ice hockey broadcasting, often providing insightful commentary during televised games.",D,Daniel George Belisle May 9 1937  November 28 2022 was a Canadian ice hockey player and coach. He played 4 games in the National Hockey League NHL during the 196061 season. The rest of his career which lasted from 1957 to 1971 was spent in the minor leagues. He later became a coach in the minor leagues and also coached the Washington Capitals in the NHL during the 197879 and 197980 seasons. Playing career Belisle played junior hockey for the Guelph Biltmores and the TroisRivires Lions. He then signed with the New York Rangers of the National Hockey League but his entire NHL career totaled four games during the 196061 season. He played fourteen years in the minor leagues as a member of fifteen different clubs. Belisles career year came in 196263 when he scored 70 points for the San Francisco Seals of the Western Hockey League. Coaching career Belisle began his coaching career with the Des Moines Oak Leafs the final team for which he played. In 1978 he was named head coach of the Washington Capitals whom he coached to a 244115 record. After a slow start at the beginning of the 197980 NHL season he was fired and replaced by Gary Green. Belisle was
798,798,What is Gilbert Alfred Franklin best known for?,"Gilbert Alfred Franklin is best known for his large-scale public art sculptures in Providence, Rhode Island and Wellfleet, Massachusetts.",Gilbert Alfred Franklin is best known for his architectural designs and innovative building structures.,Gilbert Alfred Franklin is best known for his work as a professor in the field of art history and theory.,Gilbert Alfred Franklin is best known for his collaborations with other renowned artists such as Jackson Pollock and Mark Rothko.,Gilbert Alfred Franklin is best known for his contributions to abstract sculpture and modern art movements.,A,Gilbert Alfred Franklin 19192004 was an Englishborn American sculptor and educator. He was active in Providence Rhode Island and Wellfleet Massachusetts and was best known for his public art sculptures.  Early life and education  Gilbert Franklin was born on June 6 1919 in Birmingham England and raised in Attleboro Massachusetts. His father was a jeweler. Franklins earliest coursework was at the Hawthorne School of Art now the Cape Cod School of Art studying under John Robinson Frazier. He attended Rhode Island School of Design RISD graduating with a BFA degree in 1941 as well as completing studies at the Museo Nacional de Arte in 1942 in Mexico City and the American Academy in Rome in 1949. He had been a student of Waldemar Raemisch and John Howard Benson. Franklin was married to Joyce Gertrude ne Swirsky and together they had one daughter art historian Nina Franklin Berson.  Career  Franklin served on the fine arts faculty at RISD between 1942 and 1985. Two of his bronze works are prominent on the RISD campus Orpheus Ascending 1963 and Daybreak 1968 the latter found on the RISD beach. He had been honored as the H.M. Danforth
799,799,What is Mercedes Brignone's connection to the film industry?,Mercedes Brignone played supporting roles in later years and was the older sister of a renowned film director.,Mercedes Brignone was a Spanish-born Italian stage actress and had no involvement in the film industry.,Mercedes Brignone was primarily known for her directing work in the Italian film industry.,Mercedes Brignone was best known for her leading roles in Italian films during the 1910s.,Mercedes Brignone was the daughter of a famous actor and appeared in numerous silent films for Milano Films during the 1910s.,E,Mercedes Brignone 18 May 1885  24 June 1967 was a Spanishborn Italian stage film and television actress. She was the daughter of the actor Giuseppe Brignone. She often played divas and appeared in numerous silent films for Milano Films during the 1910s.Moliterno p.207 In later years she played largely supporting roles. She was the older sister of film director and actor Guido Brignone and the aunt of actress Lilla Brignone. Selected filmography  Hamlet 1917  The Painting of Osvaldo Mars 1921  The Two Sergeants 1922  Macistes American Nephew 1924  The Song of Love 1930  Nerone 1930  Before the Jury 1931  The Charmer 1931  Seconda B 1934  Loyalty of Love 1934  The Wedding March 1934  The Ancestor 1936  To Live 1937  The Document 1939  The Marquis of Ruvolito 1939  Lorenzaccio 1951  Winter Holidays 1959 References External links  Bibliography  Moliterno Gino Historical Dictionary of Italian Cinema. Scarecrow Press 2008. Category1885 births Category1967 deaths CategoryItalian film actresses CategoryItalian silent film actresses CategoryItalian stage actresses CategoryItalian television actresses
800,800,"In the United States presidential election in Nevada, 1916, how many representatives were chosen by the voters to the Electoral College?",Four representatives,Six representatives,Two representatives ,Five representatives,Three representatives,E,The United States presidential election in the Nevada 1916 took place on November 7 1916 as part of the 1916 United States presidential election. Voters chose three representatives or electors to the Electoral College who voted for president and vice president. Nevada was won by incumbent President of the United States former Governor of New Jersey Woodrow Wilson who won the state by a comfortable margin of nearly seventeen points and carried every county in the state except Douglas a county that since statehood has voted Democratic only for William Jennings Bryan in the free silver elections of 1896 and 1900 and for the Franklin Delano Roosevelt landslides of 1932 and 1936.Sullivan Robert David How the Red and Blue Map Evolved Over the Past Century America Magazine in The National Catholic Review June 29 2016 Nevada voted more than 5 more Democratic than the nation as a wholeCounting the Votes Nevada an anomaly exceeded only by Bryan and Roosevelt in their first two elections each. Results 1916 United States presidential election in Nevada Party Candidate Votes Percentage Electoral votes Democratic Woodrow Wilson incumbent 17776 53.36 3 Republican
801,801,How did Vanity's career evolve in the 1990s?,"Vanity transitioned into a successful career as a fashion designer, leaving behind her previous image.","Vanity took on the role of a motivational speaker, inspiring others through her experiences and insights.","Vanity embarked on a new venture as a movie producer, focusing on creating thought-provoking films.",Vanity became an evangelist and abandoned her career as Vanity in the 1990s.,"Vanity's career skyrocketed, making her a global sensation in the music industry.",D,1983 she abruptly left the group and turned down a role in the 1984 film Purple Rain which went to her replacement Apollonia Kotero. In 1984 Vanity signed with Motown Records as a solo artist and recorded the funkpop album Wild Animal. She had mild success on the US pop and RB charts with the singles Pretty Mess and Mechanical Emotion. In 1985 Vanity made her mainstream film debut in The Last Dragon which featured her song 7th Heaven. She wanted a role in the 1985 film The Color Purple but Steven Spielberg thought she looked too young. In 1986 she released her second and last album Skin on Skin which produced the top 10 RB hit Under the Influence. That year she also starred in Never Too Young to Die opposite John Stamos and she appeared in 52 PickUp . In 1987 Vanity gueststarred in an episode of Miami Vices third season. She went on to co star in the 1988 film Action Jackson her highest profile role in which she starred opposite Carl Weathers Craig T. Nelson and Sharon Stone. She also appeared nude in the April 1988 issue of Playboy magazine. Vanity had a role on numerous TV programs. She appeared in Friday the 13th The Series in the episode
802,802,What was the previous name of Gauss Bacău football club before it merged with Gauss Răcăciuni?,Mesagerul Bacău,Gauss Răcăciuni,Liga III,Cristian Postolache,SC Bacău,A,Asociaia Club Sportiv Gauss Bacu commonly known as Gauss Bacu  or simply as Gauss is a Romanian football club based in Bacu Bacu County. Founded in 2006 under the name of Mesagerul Bacu the club promoted to Liga III in 2010 then being bought by Municipality of Bacu and changed its name in SC Bacu. Under this name the club obtained its best rankings promoting in the second tier and obtaining at its best a 4th place. In 2016 the Municipality retired its financial support and Sport Club withdrew from the second league then being bought by Cristian Postolache and merging with his club Gauss Rcciuni changing its name in Gauss Bacu and therefore signing up for the Liga III. History First years and ascension Gauss Bacu was founded in 2006 under the name of Mesagerul Bacu project started at the initiative of a group of football lovers a group of friends who used to play fiveaside football and decided to play at a more organized level. Sports activities started during the 200607 competitive season when Mesagerul Bacu was enrolled in the Liga V and the team had surprisingly good results managing to qualify for the Liga IV  Bacu County promotion
803,803,When did Matara railway station open and what is its purpose according to the Wikipedia excerpt?,Matara railway station opened on 17 December 1895 as the headquarters for Sri Lanka Railways.,"Matara railway station opened on 17 December 1895 as a transit hub for buses in Matara, Sri Lanka.",Matara railway station opened on 17 December 1895 as the terminus of the Coastal Line.,Matara railway station opened on 17 December 1895 as a railway hub for Sri Lanka Railways.,"Matara railway station opened on 17 December 1895 as a ferry terminal in Matara, Sri Lanka.",C,Matara railway station is a station in Matara Sri Lanka. It is owned and operated by Sri Lanka Railways. Matara railway station opened on 17 December 1895 as the terminus of the Coastal Line. Location Matara station is located in the centre of the city north of the Nilwala River. Layout Matara railway station is designed as through station despite it being the coastal lines current terminus. Services thumb300pxTrains at Matara station Matara station is served by the Ruhunu Kumari Galu Kumari Rajarata Rejini and Sagarika trains. Many other services also operate at Matara.httpwww.infolanka.comorgmrailrroutes.html The Rail Routes of Sri Lanka Local trains within the Southern Province connect Matara with Galle calling at local stations along the route. Intercity trains Service Route Frequency 8039 Colombo Maradana  Colombo Fort  Panadura  Galle  Matara Daily 8040 Colombo Maradana  Colombo Fort  Panadura  Galle  Matara Daily 8050  8051 Colombo Maradana  Colombo Fort  Panadura  Galle  Matara Daily 8056  8057 Galu Kumari Colombo Maradana  Colombo Fort  Panadura  Galle  Matara Daily 8058  8059 Ruhunu Kumari Colombo Maradana  Colombo
804,804,When did Transair Sweden AB cease operations?,Transair Sweden AB ceased operations in 1981.,Transair Sweden AB ceased operations in 1983.,Transair Sweden AB is still operational.,Transair Sweden AB ceased operations in 1979.,Transair Sweden AB ceased operations in 1985.,A,TorAir 100px 1964 1966 Operated Curtiss C46 Douglas DC3 Transair Sweden 100px TB TSA 1950 1981 Transair Sweden 100px TWE 2001 2003 Filed for bankruptcy on 16 January 2003. Operated Boeing 757200 Transjet Airways 100px S9 SWL 2001 2002 Filed for Chapter 11 bankruptcy in 2002. Operated Boeing 747 Transwede Airways 100px TQ TWE TRANSWEDE 1985 1998 Scheduled division merged into Braathens SAFE. Charter division became Blue Scandinavian. Transwede Airways 200510 100px 5T TWE TRANSWEDE 2005 2010 Transwede Leisure TWE 1996 1996 Renamedmerged to Blue Scandinavian Trygg Flyg YC TYG TRYGG 1991 2002 Operated CASA C212 Saab 340 V Varmlandsflyg 1993 2002 Renamed to Swedline Express. Operated Beech 1900 Saab 340 Viking Airlines 100px 4P VIK SWEDJET 2003 2010 W West Air Sweden 100px SWN 1992 2008 Merged with Atlantic Airlines UK and West Air Luxembourg trading as West Atlantic See also  List of airlines of Sweden  List of airports in Sweden References Sweden CategorySweden transportrelated lists Airlines
805,805,What is the primary healthcare authority responsible for the management of Elverum Hospital in Norway?,Elverum Hospital is managed by Helse Sør-Øst and the Southern and Eastern Norway Regional Health Authority.,Elverum Hospital is managed by Innlandet Hospital Trust and the Southern and Eastern Norway Regional Health Authority.,Elverum Hospital is managed by Helse Nord and the Western Norway Regional Health Authority.,Elverum Hospital is managed by Helse Vest and the Central Norway Regional Health Authority.,Elverum Hospital is managed by Innlandet Hospital Trust and the Northern Norway Regional Health Authority.,B,Central Norway Regional Health Authority  is a stateowned regional health authority responsible for operating the hospitals in the counties of Nord Trndelag SrTrndelag and Mre og Romsdal in Norway. Based in Stjrdal the authority operates five health trusts that operate nine hospitals. It is led by chairman Kolbjrn Almlid Centre Party and CEO Stig Arild Slrdahl. All real estate related to the hospitals is managed by Helsebygg MidtNorge a division of the authority. Other central agencies include Helse MidtNorge IT Hemit that operates the information technology systems as well as MidtNorsk Helsenett that operates the healthcare information network in Central Norway. St. Olavs Hospital cooperates with the Norwegian University of Science and Technology to provide medical education in Trondheim. Subsidiaries Mre og Romsdal Hospital Trust lesund Hospital Kristiansund Hospital Molde Hospital Volda Hospital NordTrndelag Hospital Trust Levanger Hospital Namsos Hospital St. Olavs Hospital Trust St. Olavs University Hospital Trondheim Orkdal Hospital Central Norway Ambulance Central Norway Pharmaceutical Trust Defunct subsidiaries
806,806,What notable awards did Sydney Pollack receive over his career?,Three Golden Globe Awards and six BAFTA Awards.,One Academy Award and two Golden Globe Awards.,Two Academy Awards and a Primetime Emmy Award.,Three Golden Globe Awards and two Academy Awards.,Six BAFTA Awards and a Primetime Emmy Award.,C,The Sports Performer Awards supported by The Age and The Sydney Morning Herald and presented by Colonial First State are one of the most prestigious and lucrative prizes in Australian sport first awarded in 2007. The major award Sports Performer of the Year is voted by the public from a shortlist of 67 nominees selected by a panel. The winner is awarded 50000 from Colonial First State. In addition to the major award Sports Performer of the Year three other awards are presented on the night  for team coach and young performer of the year. By voting for any of the awards presented on the night you can win 5000 from Colonial First State. The 2007 Performer of the Year was Cadel Evans. The 2008 winner was Olympic diving goldmedalist Matthew Mitcham. Major Award Sports Performer of the Year Other awards Team of the Year Coach of the Year Young Performer of the Year See also Australian Sport Awards External links Sports Awards  Colonial First State awards CategoryAustralian sports trophies and awards CategoryAwards established in 2007 Category2007 establishments in Australia
